Rank,Name,Net Worth (billions),Age,Source,Country of Citizenship,Net Worth
#1867,Zhang Zhangsun,$1.2 B,61,real estate,China,1.2
#1867,Zhou Bajin,$1.2 B,83,auto parts,China,1.2
#1867,Zhou Wenyu,$1.2 B,53,real estate,China,1.2
#1999,William Ackman,$1.1 B,52,hedge funds,United States,1.1
#1999,Soegiarto Adikoesoemo,$1.1 B,80,chemicals,Indonesia,1.1
#1999,Ali Ibrahim Agaoglu,$1.1 B,64,construction,Turkey,1.1
#1999,Hamdi Akin,$1.1 B,63,diversified,Turkey,1.1
#1999,Chirayu Amin,$1.1 B,71,pharmaceuticals,India,1.1
#1999,Mehmet Aydinlar,$1.1 B,61,hospitals,Turkey,1.1
#1999,Emanuella Barilla,$1.1 B,51,Barilla pasta,Italy,1.1
#1999,Guido Barilla,$1.1 B,59,Barilla pasta,Italy,1.1
#1999,Luca Barilla,$1.1 B,58,Barilla pasta,Italy,1.1
#1999,Paolo Barilla,$1.1 B,57,Barilla pasta,Italy,1.1
#1999,Mehmet Rustu Basaran,$1.1 B,71,"banking, gas",Turkey,1.1
#1999,J. Hyatt Brown,$1.1 B,80,insurance,United States,1.1
#1999,Bu Yang,$1.1 B,-,retail,China,1.1
#1999,Hideyuki Busujima,$1.1 B,65,pachinko machines,Japan,1.1
#1999,Cai Rongjun,$1.1 B,45,electronic components,China,1.1
#1999,Cai Xiaoru,$1.1 B,38,electronic components,China,1.1
#1999,Delfin Jorge Ezequiel Carballo,$1.1 B,65,banking,Argentina,1.1
#1999,Chen Jinshi,$1.1 B,55,"construction, real estate",China,1.1
#1999,Chen Qixing,$1.1 B,58,electronics components,China,1.1
#1999,Chen Shiliang,$1.1 B,54,polyester,China,1.1
#1999,Chen Xiaxin,$1.1 B,56,industrial machinery,China,1.1
#1999,Manas Chiaravanond,$1.1 B,-,diversified,Thailand,1.1
#1999,Yupa Chiaravanond,$1.1 B,-,diversified,Thailand,1.1
#1999,Prathip Chiravanond,$1.1 B,-,diversified,Thailand,1.1
#1999,Gustavo Cisneros,$1.1 B,73,media,Venezuela,1.1
#1999,Sandor Csanyi,$1.1 B,65,"finance, real estate",Hungary,1.1
#1999,Cui Lijie,$1.1 B,60,gambling,Hong Kong,1.1
#1999,Dang Yanbao,$1.1 B,45,coal,China,1.1
#1999,Bharat Desai,$1.1 B,65,IT consulting,United States,1.1
#1999,Joseph Edelman,$1.1 B,63,hedge funds,United States,1.1
#1999,Wolfgang Egger,$1.1 B,-,real estate,Germany,1.1
#1999,Andrei Filatov,$1.1 B,46,"ports, railway transport",Russia,1.1
#1999,Paul Fireman,$1.1 B,74,Reebok,United States,1.1
#1999,J. Christopher Flowers,$1.1 B,60,investments,United States,1.1
#1999,Fu Kwan,$1.1 B,60,"real estate, diversified",China,1.1
#1999,Sheela Gautam,$1.1 B,86,mattresses,India,1.1
#1999,Drew Houston,$1.1 B,35,file hosting service,United States,1.1
#1999,Huang Shilin,$1.1 B,51,storage batteries,China,1.1
#1999,Huang Wen Tsai,$1.1 B,64,real estate,China,1.1
#1999,Mohammed Ibrahim,$1.1 B,72,communications,United Kingdom,1.1
#1999,Hiroshi Ishibashi,$1.1 B,71,tires,Japan,1.1
#1999,Bent Jensen,$1.1 B,66,electric linear systems,Denmark,1.1
#1999,Chatchai Kaewbootta,$1.1 B,66,auto loans,Thailand,1.1
#1999,Jonas Kamprad,$1.1 B,52,IKEA,Sweden,1.1
#1999,Mathias Kamprad,$1.1 B,48,IKEA,Sweden,1.1
#1999,Peter Kamprad,$1.1 B,54,IKEA,Sweden,1.1
#1999,Madhu Kapur,$1.1 B,-,banking,India,1.1
#1999,Richard Kayne,$1.1 B,72,investments,United States,1.1
#1999,Vladimir Kogan,$1.1 B,55,banking,Russia,1.1
#1999,Koh Wee Meng,$1.1 B,54,"real estate, hotels",Singapore,1.1
#1999,Koo Bon-Joon,$1.1 B,66,"electronics, household products",South Korea,1.1
#1999,Lam Lung On,$1.1 B,53,real estate,China,1.1
#1999,Isaac Larian,$1.1 B,64,toys,United States,1.1
#1999,Frank Laukien,$1.1 B,58,scientific equipment,United States,1.1
#1999,Lee Joon-Ho,$1.1 B,53,online games,South Korea,1.1
#1999,Lee Sang-Hyuk,$1.1 B,47,investments,South Korea,1.1
#1999,Nancy Lerner,$1.1 B,58,"banking, credit cards",United States,1.1
#1999,Norma Lerner,$1.1 B,82,banking,United States,1.1
#1999,Randolph Lerner,$1.1 B,56,"banking, credit cards",United States,1.1
#1999,David Xueling Li,$1.1 B,45,live streaming service,China,1.1
#1999,Li Tan,$1.1 B,53,pharmaceuticals,China,1.1
#1999,Li Weiguo,$1.1 B,53,construction materials,China,1.1
#1999,Liang Feng,$1.1 B,49,manufacturing,China,1.1
#1999,Liang Guangwei,$1.1 B,54,conglomerate,China,1.1
#1999,Liang Shezeng,$1.1 B,86,real estate,China,1.1
#1999,Liao Chang,$1.1 B,52,wine,China,1.1
#1999,Jenny Lind_n Urnes,$1.1 B,47,powdered metal,Sweden,1.1
#1999,Liu Zhendong,$1.1 B,47,industrial parks,China,1.1
#1999,Liu Zhiqiang,$1.1 B,53,conglomerate,China,1.1
#1999,Jonathan Lu,$1.1 B,49,e-commerce,China,1.1
#1999,William Macaulay,$1.1 B,72,energy investments,United States,1.1
#1999,John Martin,$1.1 B,67,pharmaceuticals,United States,1.1
#1999,Yves-Loic Martin,$1.1 B,52,laboratory services,France,1.1
#1999,Satish Mehta,$1.1 B,67,pharmaceuticals,India,1.1
#1999,Nikita Mishin,$1.1 B,46,"ports, railway transport",Russia,1.1
#1999,Konstantin Nikolaev,$1.1 B,47,"ports, railway transport",Russia,1.1
#1999,Simon Nixon,$1.1 B,50,price comparison website,United Kingdom,1.1
#1999,Michael O'Leary,$1.1 B,57,Ryanair,Ireland,1.1
#1999,Liora Ofer,$1.1 B,64,investments,Israel,1.1
#1999,Roberto Ongpin,$1.1 B,81,diversified,Philippines,1.1
#1999,Niti Osathanugrah,$1.1 B,44,investments,Thailand,1.1
#1999,Frank Otto,$1.1 B,60,retail,Germany,1.1
#1999,Gretel Packer,$1.1 B,52,casinos,Australia,1.1
#1999,Alberto Palatchi,$1.1 B,68,wedding dresses,Spain,1.1
#1999,Peng Jianhu,$1.1 B,61,tourism,China,1.1
#1999,Lucy Peng,$1.1 B,45,e-commerce,China,1.1
#1999,Andrei Rappoport,$1.1 B,54,investments,Russia,1.1
#1999,Andrea Reimann-Ciardelli,$1.1 B,61,consumer goods,United States,1.1
#1999,Igor Rotenberg,$1.1 B,45,"construction, real estate",Russia,1.1
#1999,Alan Rydge,$1.1 B,65,entertainment,Australia,1.1
#1999,Chris Sacca,$1.1 B,43,venture capital investing,United States,1.1
#1999,Alexander Samwer,$1.1 B,43,tech investments,Germany,1.1
#1999,Marc Samwer,$1.1 B,47,tech investments,Germany,1.1
#1999,Oliver Samwer,$1.1 B,44,tech investments,Germany,1.1
#1999,Neil Shen,$1.1 B,50,venture capital,Hong Kong,1.1
#1999,Albert Shigaboutdinov,$1.1 B,65,"refinery, chemicals",Russia,1.1
#1999,Shin Dong-Joo,$1.1 B,64,retail,South Korea,1.1
#1999,Yoshiko Shinohara,$1.1 B,83,staffing,Japan,1.1
#1999,Analjit Singh,$1.1 B,64,healthcare,India,1.1
#1999,Stephen Smith,$1.1 B,67,finance and investments,Canada,1.1
#1999,Michael Steinhardt,$1.1 B,77,finance,United States,1.1
#1999,Svein Stole,$1.1 B,55,investments,Norway,1.1
#1999,Rustem Sulteev,$1.1 B,64,"refinery, chemicals",Russia,1.1
#1999,Julio Patricio Supervielle,$1.1 B,61,banking,Argentina,1.1
#1999,Min-Liang Tan,$1.1 B,40,gaming,Singapore,1.1
#1999,Hary Tanoesoedibjo,$1.1 B,52,media,Indonesia,1.1
#1999,Sukanto Tanoto,$1.1 B,68,diversified,Indonesia,1.1
#1999,Tiong Hiew King,$1.1 B,83,"timber, media",Malaysia,1.1
#1999,Laurie Tisch,$1.1 B,67,"insurance, NFL team",United States,1.1
#1999,Steven Tisch,$1.1 B,69,insurance,United States,1.1
#1999,James Truchard,$1.1 B,74,software,United States,1.1
#1999,Vardis Vardinoyannis,$1.1 B,85,oil and gas,Greece,1.1
